de;ru
beginnen-begann-begonnen;начинать
bleiben-blieb-geblieben;оставаться
bringen-brachte-gebracht;приносить
denken-dachte-gedacht;думать
essen-aß-gegessen;есть,кушать
fahren-fuhr-gefahren;ехать,ездить
fallen-fiel-gefallen;падать
finden-fand-gefunden;находить
fliegen-flog-geflogen;летать
geben-gab-gegeben;давать
gehen-ging-gegangen;идти,ходить
haben-hatte-gehabt;иметь
helfen-half-geholfen;помогать
kommen-kam-gekommen;приходить
laufen-lief-gelaufen;бегать
lesen-las-gelesen;читать
liegen-lag-gelegen;лежать
nehmen-nahm-genommen;брать
schlafen-schlief-geschlafen;спать
schreiben-schrieb-geschrieben;писать
schwimmen-schwamm-geschwommen;плавать
sehen-sah-gesehen;смотреть
sein-war-gewesen;быть
singen-sang-gesungen;петь
sprechen-sprach-gesprochen;говорить
springen-sprang-gesprungen;прыгать
stehen-stand-gestanden;стоять
tragen-trug-getragen;носить
treffen-traf-getroffen;встречать
trinken-trank-getrunken;пить
tun-tat-getan;делать
vergessen-vergaß-vergessen;забывать
verlieren-verlor-verloren;терять
