de;ru
arm;бедный
ausgeregt;взволнованный
billig;дешёвый
bitter;горький
dumm;глупый
dunkel;тёмный
fröhlich;весёлый
geizig;жадный
groß;большой
großzügig;щедрый
hell;светлый
häßlich;уродливый
interessant;интересный
kalt;холодный
klein;маленький
klug;умный
kurz;короткий
lang;длинный
langsam;медленный
langweilig;скучный
laut;громкий
leicht;лёгкий
leise;тихий
reich;богатый
ruhig;спокойный
sauber;чистый
schmutzig;грязный
schnell;быстрый
schwer;тяжёлый
schön;красивый
süß;сладкий
teuer;дорогой
traurig;грустный
warm;тёплый
