de;ru
ankommen;прибывать
antworten;отвечать
bekommen;получать
bestellen;заказывать
besuchen;посещать
bleiben;оставаться
brauchen;нуждаться
bringen;приносить
einladen;приглашать, грузить
empfangen;встречать, принимать
essen;есть,кушать
fahren;ехать, ездить
fallen;падать
finden;находить
fragen;спрашивать
geben;давать
gehen;идти, ходить
gehören;принадлежать
glauben;верить
haben;иметь
helfen;помогать
hängen;висеть, вешать
hören;слышать, слушать
kaufen;покупать
kennen;знать, быть знакомым с
kommen;приходить, приезжать
können;мочь, уметь
lassen;оставлять, позволять
laufen;бежать
leben;жить
legen;класть, положить
lesen;читать
lieben;любить
liegen;лежать
nehmen;брать, взять
sagen;сказать
schenken;дарить
schlafen;спать
schreiben;писать
sehen;видеть, смотреть
sein;быть
sprechen;говорить, разговаривать
stehen;стоять
stellen;ставить
suchen;искать
tragen;носить
treffen;встречать (случайно)
trinken;пить
verkaufen;продавать
verstehen;понимать
werden;становиться
wissen;знать
wohnen;жить, проживать
wünschen;желать, хотеть
zahlen;платить
zeigen;показывать, указывать
